product_id,product_name,category,brand,price,cost,stock_quantity,weight_kg,rating,review_count,launch_date,is_bestseller,supplier_country
PROD_00033,Robust exuding strategy,Electronics,BrandB,254.37,154.86,834,0.79,4.8,2075,2022-10-12,True,Japan
PROD_00034,Reverse-engineered fresh-thinking data-warehouse,Automotive,BrandE,1042.88,825.05,405,2.75,1.2,3226,2024-08-10,False,Germany
PROD_00035,Optional global interface,Home & Garden,BrandC,349.49,262.47,350,4.9,2.7,4285,2023-12-02,False,South Korea
PROD_00036,Right-sized logistical alliance,Clothing,BrandA,197.56,155.95,813,1.11,2.5,3364,2024-12-14,False,Japan
PROD_00037,Balanced methodical adapter,Electronics,BrandE,1047.71,670.62,842,3.16,4.8,358,2024-06-03,True,USA
PROD_00038,Centralized bi-directional open architecture,Beauty,BrandA,86.54,54.01,24,3.0,2.5,3419,2023-06-19,False,USA
PROD_00039,Cross-platform hybrid core,Books,BrandE,21.57,15.19,464,6.83,4.9,2090,2024-12-08,True,South Korea
PROD_00040,Synergized neutral infrastructure,Beauty,BrandB,117.43,86.04,721,0.31,3.9,3928,2024-09-03,False,USA
PROD_00041,Devolved system-worthy open architecture,Home & Garden,Generic,180.78,142.31,653,3.62,3.9,4493,2024-09-26,False,Japan
PROD_00042,Secured disintermediate moderator,Home & Garden,BrandB,207.37,163.28,675,7.83,4.5,1214,2023-04-27,True,Japan
PROD_00043,Visionary web-enabled matrix,Automotive,BrandA,1028.32,776.16,905,7.34,3.1,1022,2023-02-11,False,South Korea
PROD_00044,Centralized grid-enabled methodology,Books,BrandC,40.62,31.79,933,9.36,1.6,2684,2023-02-28,False,China
PROD_00045,Phased bifurcated concept,Books,BrandA,18.18,14.18,891,4.91,4.3,1686,2022-10-22,True,South Korea
PROD_00046,Enhanced explicit functionalities,Books,BrandD,23.5,16.94,540,7.52,2.2,4782,2023-11-24,False,Japan
PROD_00047,Reduced full-range challenge,Books,BrandC,36.75,27.95,379,8.83,2.2,4779,2023-05-06,False,Japan
PROD_00048,Cross-platform encompassing adapter,Home & Garden,BrandC,271.53,169.38,329,3.99,3.2,2420,2022-07-09,False,China
PROD_00049,Proactive transitional service-desk,Home & Garden,BrandA,186.22,120.0,929,3.85,2.8,3815,2024-01-11,False,Japan
PROD_00050,Down-sized bottom-line success,Books,BrandE,46.74,36.1,783,0.96,1.0,3332,2022-10-22,False,Japan
PROD_00051,Object-based zero tolerance concept,Sports,Generic,109.29,75.86,664,8.54,2.6,596,2024-06-16,False,China
PROD_00052,Re-engineered tangible capacity,Electronics,BrandE,1176.91,801.85,758,1.85,4.6,2067,2023-10-14,True,USA
PROD_00053,Horizontal mission-critical capability,Electronics,BrandD,708.0,481.77,821,2.47,3.4,1143,2023-11-19,False,China
PROD_00054,Business-focused solution-oriented intranet,Clothing,BrandC,202.22,133.45,896,1.27,4.8,4532,2025-04-28,True,South Korea
PROD_00055,Multi-tiered tertiary initiative,Clothing,BrandD,217.81,166.16,557,0.32,1.8,1966,2023-01-09,False,Germany
PROD_00056,Vision-oriented discrete time-frame,Automotive,BrandB,985.91,728.55,152,6.68,4.3,2283,2024-05-24,True,South Korea
PROD_00057,Networked mobile secured line,Home & Garden,Generic,448.11,284.15,478,3.71,3.4,2924,2024-06-05,False,South Korea
PROD_00058,Networked transitional matrices,Clothing,BrandC,287.85,211.27,666,1.01,2.3,411,2024-06-09,False,South Korea
PROD_00059,Progressive logistical firmware,Home & Garden,BrandA,325.08,245.77,475,4.11,3.1,391,2025-01-04,False,China
PROD_00060,Persistent 4thgeneration array,Electronics,BrandD,1688.4,1154.53,735,4.78,2.8,381,2024-11-01,False,Japan
PROD_00061,Profound multimedia approach,Automotive,BrandD,1422.77,875.05,24,7.51,4.6,612,2022-12-04,True,South Korea
PROD_00062,Cross-platform static migration,Beauty,BrandB,22.05,14.33,555,1.16,3.9,3377,2025-05-27,False,South Korea
PROD_00063,Horizontal multi-tasking hardware,Books,BrandA,43.39,31.29,948,3.79,1.7,2221,2023-07-18,False,Germany
PROD_00064,Re-contextualized optimal algorithm,Automotive,BrandD,250.77,159.71,793,1.56,1.3,4867,2023-09-11,False,South Korea
PROD_00065,Fully-configurable optimal workforce,Sports,BrandC,520.7,397.89,268,9.73,3.5,3736,2022-12-06,False,Japan
PROD_00066,Multi-tiered transitional firmware,Clothing,BrandC,174.87,133.21,524,1.31,1.9,4794,2022-11-25,False,China
PROD_00067,Re-contextualized didactic solution,Beauty,BrandD,15.9,11.62,475,1.27,4.9,2242,2024-01-30,True,Germany
PROD_00068,Advanced user-facing Graphic Interface,Beauty,BrandB,146.28,105.43,256,5.49,2.9,2385,2025-03-28,False,Germany
PROD_00069,Pre-emptive cohesive workforce,Books,BrandD,33.8,24.93,39,4.48,2.3,2347,2023-05-17,False,Japan
PROD_00070,Reverse-engineered mobile installation,Books,Generic,33.85,22.79,404,2.14,4.4,2919,2025-05-11,True,South Korea
PROD_00071,Progressive responsive productivity,Sports,BrandB,275.67,172.92,65,8.71,2.9,99,2025-01-26,False,USA
PROD_00072,Persevering logistical Graphic Interface,Home & Garden,BrandA,340.8,238.63,310,9.36,1.9,658,2024-06-13,False,Japan
PROD_00073,Customizable interactive hub,Beauty,BrandE,171.44,127.46,431,3.57,3.4,3883,2023-05-15,False,China
PROD_00074,Configurable transitional functionalities,Home & Garden,BrandE,375.69,267.61,924,3.82,3.4,4269,2024-03-04,False,Germany
PROD_00075,Front-line coherent product,Electronics,BrandD,1887.42,1237.28,478,3.76,4.8,3765,2024-03-05,True,Japan
PROD_00076,Centralized encompassing project,Home & Garden,BrandA,469.47,347.05,407,6.53,3.2,4325,2023-03-03,False,USA
PROD_00077,Compatible regional software,Clothing,BrandE,28.06,19.36,629,0.94,4.9,530,2025-04-16,True,USA
PROD_00078,Implemented multi-state concept,Beauty,BrandC,147.09,92.0,944,0.43,1.9,2637,2023-07-06,False,China
PROD_00079,Pre-emptive fresh-thinking core,Beauty,BrandE,83.22,65.48,235,0.93,3.5,3136,2024-07-13,False,USA
PROD_00080,Advanced needs-based info-mediaries,Automotive,BrandB,1025.8,735.64,817,7.61,3.7,3235,2023-03-08,False,Japan
PROD_00081,Switchable bottom-line info-mediaries,Electronics,BrandD,232.33,157.9,918,4.76,2.0,4114,2024-04-25,False,South Korea
PROD_00082,Multi-channeled 4thgeneration instruction set,Electronics,Generic,515.13,394.28,821,4.21,2.8,3178,2025-02-03,False,USA
PROD_00083,Organic holistic structure,Electronics,BrandA,1453.62,986.19,990,1.86,4.4,4615,2024-05-01,True,South Korea
PROD_00084,Grass-roots well-modulated hardware,Sports,BrandC,734.58,559.43,322,7.44,1.5,1481,2024-02-16,False,China
PROD_00085,Reverse-engineered intermediate product,Books,BrandD,6.39,4.26,845,7.25,3.6,3695,2024-04-22,False,South Korea
PROD_00086,Vision-oriented eco-centric encryption,Automotive,BrandB,1288.39,998.72,778,2.87,3.1,3093,2023-03-10,False,Germany
PROD_00087,Horizontal bi-directional functionalities,Home & Garden,BrandC,125.72,83.58,579,3.3,3.8,1501,2022-10-02,False,China
PROD_00088,Intuitive multimedia monitoring,Books,Generic,26.66,20.53,809,0.24,3.4,799,2022-07-11,False,China
PROD_00089,Business-focused impactful knowledge user,Automotive,BrandC,1439.08,1006.36,128,1.55,2.9,3078,2022-08-03,False,USA
PROD_00090,Future-proofed grid-enabled protocol,Clothing,BrandA,57.23,35.41,617,0.86,2.8,1933,2022-07-29,False,China
PROD_00091,Synergistic systemic attitude,Home & Garden,BrandC,255.79,191.02,857,2.15,4.5,1373,2023-12-27,True,China
PROD_00092,Multi-tiered attitude-oriented adapter,Books,BrandD,48.75,33.7,666,7.86,1.4,2964,2024-01-24,False,USA
PROD_00093,Polarized human-resource synergy,Home & Garden,Generic,274.83,198.08,5,9.72,4.8,1831,2025-03-11,True,USA
PROD_00094,Team-oriented radical help-desk,Sports,BrandD,367.76,268.55,46,8.44,2.3,4506,2022-10-14,False,South Korea
PROD_00095,Synergistic object-oriented encryption,Beauty,BrandA,153.33,120.96,601,2.9,2.4,903,2024-10-15,False,Japan
PROD_00096,Switchable solution-oriented open architecture,Beauty,BrandD,147.65,98.49,376,2.72,2.9,1391,2022-09-15,False,Germany
PROD_00097,Profound demand-driven circuit,Automotive,BrandC,511.63,370.93,927,5.23,4.9,4864,2023-01-27,True,South Korea
PROD_00098,Object-based analyzing monitoring,Clothing,BrandD,13.96,9.39,358,1.36,2.0,4529,2025-03-13,False,Japan
PROD_00099,De-engineered national hierarchy,Sports,BrandA,682.49,504.79,107,0.54,2.9,4038,2024-10-12,False,Japan
PROD_00100,Managed zero-defect superstructure,Beauty,Generic,198.28,134.3,911,6.29,1.4,2353,2023-06-28,False,China
PROD_00101,Open-architected content-based infrastructure,Home & Garden,BrandE,333.83,236.73,886,3.37,4.7,1366,2023-09-07,True,Japan
PROD_00102,Sharable bottom-line Graphical User Interface,Beauty,BrandC,181.81,122.24,786,5.02,2.4,391,2022-11-07,False,Japan
PROD_00103,Streamlined upward-trending project,Clothing,BrandB,97.08,60.09,569,0.5,4.5,1244,2022-12-30,True,China
PROD_00104,Multi-channeled leadingedge system engine,Electronics,BrandD,955.6,626.12,955,0.19,1.8,630,2025-03-22,False,Japan
PROD_00105,Organic grid-enabled framework,Beauty,BrandD,32.66,19.95,326,0.15,3.8,3865,2022-11-12,False,USA
PROD_00106,Programmable secondary success,Clothing,BrandE,278.14,207.28,610,0.44,4.5,232,2023-08-02,True,Japan
PROD_00107,Advanced impactful attitude,Books,Generic,37.06,26.48,329,3.08,3.9,2998,2023-11-30,False,South Korea
PROD_00108,Robust global policy,Clothing,BrandB,122.81,95.39,162,1.72,3.6,4691,2024-03-07,False,Japan
PROD_00109,Cross-group zero administration standardization,Sports,BrandA,731.0,495.71,724,0.63,1.8,4888,2024-05-26,False,Japan
PROD_00110,Focused next generation info-mediaries,Electronics,Generic,938.24,650.04,602,2.96,1.5,4688,2024-11-30,False,Germany
PROD_00111,Right-sized client-driven approach,Clothing,BrandB,276.53,190.94,180,0.59,3.6,3372,2022-08-13,False,South Korea
PROD_00112,Universal attitude-oriented parallelism,Clothing,Generic,47.81,29.89,462,0.77,4.6,484,2025-05-28,True,Germany
PROD_00113,Optional optimizing application,Beauty,BrandE,161.05,110.93,264,1.05,4.6,3318,2024-12-02,True,South Korea
PROD_00114,Sharable reciprocal secured line,Sports,Generic,540.39,358.87,856,9.26,1.0,484,2023-10-12,False,Germany
PROD_00115,Re-engineered well-modulated access,Clothing,Generic,102.68,80.38,297,1.26,4.3,294,2025-06-16,True,Japan
PROD_00116,Phased systemic Graphical User Interface,Home & Garden,BrandC,141.85,103.54,632,1.91,1.1,644,2023-04-25,False,USA
PROD_00117,Realigned intermediate function,Automotive,BrandD,666.27,466.49,773,6.83,1.9,2115,2024-11-16,False,Germany
PROD_00118,Cross-group interactive challenge,Electronics,BrandD,173.27,118.1,187,2.27,1.1,1655,2025-02-09,False,South Korea
PROD_00119,Adaptive demand-driven conglomeration,Electronics,BrandB,848.88,547.69,560,3.03,2.8,1282,2024-03-26,False,China
PROD_00120,Object-based optimizing matrix,Electronics,Generic,1014.94,671.95,999,3.74,2.8,1680,2023-06-04,False,China
PROD_00121,Devolved human-resource info-mediaries,Electronics,BrandE,1842.74,1243.84,634,0.31,4.2,507,2022-10-28,True,China
PROD_00122,Cloned bifurcated flexibility,Electronics,BrandC,876.59,660.57,33,0.3,1.1,2513,2023-06-19,False,South Korea
PROD_00123,User-centric asymmetric customer loyalty,Home & Garden,BrandD,260.38,202.94,534,3.1,1.4,1771,2025-03-27,False,USA
PROD_00124,De-engineered directional website,Beauty,Generic,96.59,72.09,895,9.09,3.5,1196,2024-05-29,False,Japan
PROD_00125,Grass-roots human-resource knowledge user,Books,BrandD,46.42,28.1,566,4.58,3.9,204,2024-12-04,False,USA
PROD_00126,Advanced scalable infrastructure,Home & Garden,BrandD,295.19,180.13,369,5.9,4.7,1495,2023-02-13,True,Japan
PROD_00127,Re-engineered mission-critical hierarchy,Clothing,BrandA,149.0,107.35,822,0.48,4.3,901,2023-11-17,True,USA
PROD_00128,Team-oriented mobile utilization,Books,BrandE,48.85,34.44,804,9.62,3.8,87,2025-01-09,False,China
PROD_00129,Face-to-face optimal Local Area Network,Beauty,BrandE,168.02,129.41,81,7.34,1.5,3954,2023-11-09,False,South Korea
PROD_00130,Pre-emptive directional core,Automotive,BrandD,171.28,105.96,203,1.37,3.0,1251,2023-09-06,False,South Korea
PROD_00131,Organic leadingedge capability,Books,BrandB,5.57,3.66,918,5.57,4.5,4419,2024-11-25,True,Germany
PROD_00132,Operative coherent extranet,Beauty,BrandB,23.66,15.8,774,7.87,4.8,732,2023-08-17,True,China
PROD_00133,Adaptive content-based implementation,Clothing,Generic,258.75,192.04,74,0.16,2.0,1579,2024-06-01,False,China
PROD_00134,Progressive static definition,Home & Garden,BrandC,89.28,54.8,221,6.27,4.1,4800,2024-06-05,True,South Korea
PROD_00135,Up-sized discrete challenge,Electronics,BrandE,1042.35,687.11,3,4.72,1.5,3949,2022-09-25,False,Germany
PROD_00136,Synchronized solution-oriented initiative,Automotive,BrandC,287.09,190.79,816,3.34,2.1,2288,2025-06-16,False,China
PROD_00137,Vision-oriented real-time algorithm,Electronics,BrandB,1770.85,1401.53,979,4.82,3.7,72,2024-07-21,False,USA
PROD_00138,Integrated disintermediate firmware,Automotive,BrandE,918.74,562.05,603,5.74,4.7,865,2023-07-11,True,USA
PROD_00139,Realigned bifurcated artificial intelligence,Automotive,Generic,1369.08,934.41,518,8.02,1.3,1686,2024-01-30,False,Japan
PROD_00140,Profit-focused scalable firmware,Sports,Generic,121.52,91.52,835,6.32,2.0,2162,2023-12-28,False,USA
PROD_00141,Ergonomic motivating firmware,Sports,BrandB,145.1,99.53,491,9.48,3.5,3030,2023-03-17,False,Japan
PROD_00142,Optional needs-based capacity,Electronics,BrandC,983.33,782.16,493,0.11,3.7,224,2025-03-07,False,South Korea
PROD_00143,Optimized well-modulated circuit,Clothing,BrandA,19.89,13.98,436,1.67,1.7,4098,2024-10-23,False,South Korea
PROD_00144,Vision-oriented secondary customer loyalty,Beauty,BrandD,19.58,13.42,584,1.28,1.5,369,2024-08-24,False,South Korea
PROD_00145,Centralized coherent toolset,Clothing,BrandD,195.22,138.66,667,1.61,4.7,1017,2025-03-14,True,USA
PROD_00146,Integrated actuating intranet,Clothing,Generic,71.18,46.37,334,0.4,4.9,915,2023-08-13,True,Germany
PROD_00147,User-centric hybrid knowledgebase,Electronics,BrandA,603.22,476.69,353,0.43,1.8,1995,2025-02-20,False,South Korea
PROD_00148,Balanced foreground encryption,Sports,Generic,773.72,562.76,448,7.96,3.3,2307,2024-06-10,False,Germany
PROD_00149,Sharable eco-centric service-desk,Clothing,BrandD,138.52,109.91,790,1.48,2.2,1824,2023-02-02,False,South Korea
PROD_00150,Multi-channeled optimal access,Sports,BrandD,350.37,232.55,444,4.51,1.8,599,2024-01-09,False,Japan
PROD_00151,Enhanced non-volatile product,Books,BrandE,29.62,18.44,80,6.82,4.3,2756,2024-04-25,True,South Korea
PROD_00152,Versatile 24hour help-desk,Sports,BrandA,154.46,108.3,329,6.19,3.0,3882,2024-12-03,False,China
PROD_00153,Profit-focused heuristic leverage,Sports,Generic,620.45,444.95,554,8.74,2.3,2200,2022-10-15,False,South Korea
PROD_00154,Reactive intangible neural-net,Automotive,BrandD,1436.08,862.7,496,2.57,4.6,778,2024-06-25,True,Japan
PROD_00155,Vision-oriented user-facing collaboration,Automotive,BrandC,1081.09,863.74,448,0.88,2.6,514,2025-06-05,False,USA
PROD_00156,Robust analyzing service-desk,Sports,Generic,484.95,292.08,383,4.84,3.0,278,2025-02-13,False,Japan
PROD_00157,Secured tangible migration,Beauty,BrandC,68.53,52.33,604,8.38,1.6,3751,2023-10-11,False,China
PROD_00158,Compatible user-facing throughput,Books,BrandC,34.62,24.6,169,6.33,3.0,1859,2023-10-18,False,USA
PROD_00159,Organized bi-directional circuit,Sports,BrandB,217.39,143.84,839,2.06,2.3,992,2024-05-31,False,Japan
PROD_00160,Public-key dynamic policy,Home & Garden,BrandB,430.94,287.46,736,5.18,3.2,1747,2024-08-14,False,China
PROD_00161,Assimilated bi-directional model,Sports,BrandD,317.45,230.21,699,4.18,3.8,471,2024-12-19,False,Germany
PROD_00162,Implemented demand-driven migration,Electronics,BrandA,1436.6,903.64,114,0.17,1.7,6,2023-03-28,False,Germany
PROD_00163,Right-sized neutral protocol,Electronics,BrandA,1015.67,782.92,361,0.33,4.8,3817,2023-10-06,True,China
PROD_00164,Face-to-face bifurcated groupware,Home & Garden,BrandB,153.17,95.2,568,0.1,4.6,3059,2022-12-16,True,Germany
PROD_00165,Multi-channeled empowering attitude,Books,BrandA,44.37,31.97,886,6.57,4.6,1888,2024-04-22,True,USA
PROD_00166,Synergized upward-trending forecast,Clothing,BrandB,214.65,160.62,684,0.72,2.7,4482,2022-08-28,False,USA
PROD_00167,Networked discrete database,Books,BrandB,25.07,18.6,639,8.42,1.6,2523,2023-06-15,False,China
PROD_00168,Implemented 5thgeneration strategy,Automotive,BrandA,1378.61,971.41,163,9.23,5.0,1642,2024-06-29,True,Japan
PROD_00169,Diverse bifurcated intranet,Electronics,BrandE,821.65,503.24,261,2.37,1.3,3615,2025-01-05,False,USA
PROD_00170,Robust discrete utilization,Clothing,BrandA,66.64,42.17,54,0.45,4.2,1749,2023-10-15,True,USA
PROD_00171,Robust well-modulated knowledgebase,Home & Garden,Generic,35.71,23.27,859,9.16,3.7,1268,2024-08-07,False,South Korea
PROD_00172,Intuitive well-modulated toolset,Electronics,BrandA,1360.02,821.98,530,1.96,3.6,1736,2022-09-28,False,Germany
PROD_00173,Public-key explicit protocol,Electronics,BrandD,1054.34,763.09,173,2.77,1.4,1822,2022-09-27,False,USA
PROD_00174,Team-oriented client-driven data-warehouse,Sports,BrandB,648.82,472.72,807,6.99,2.7,2765,2023-07-09,False,South Korea
PROD_00175,Programmable human-resource policy,Electronics,BrandA,1742.67,1373.04,827,0.74,4.0,2626,2023-03-14,False,Japan
PROD_00176,Synchronized neutral knowledge user,Books,BrandC,32.34,24.78,577,3.85,4.5,511,2023-08-12,True,China
PROD_00177,Synchronized disintermediate algorithm,Home & Garden,BrandE,477.14,302.31,246,7.23,1.4,2667,2023-04-30,False,China
PROD_00178,Progressive systematic conglomeration,Home & Garden,BrandD,96.99,72.25,526,2.87,2.1,1689,2024-11-22,False,USA
PROD_00179,Fundamental real-time neural-net,Electronics,BrandB,857.82,586.98,828,2.29,4.1,1880,2023-10-23,True,South Korea
PROD_00180,Inverse actuating capability,Home & Garden,BrandA,147.82,104.31,512,4.26,2.3,4752,2022-08-18,False,Japan
PROD_00181,Digitized encompassing ability,Home & Garden,BrandE,75.79,56.89,492,6.36,4.6,1176,2023-09-24,True,Japan
PROD_00182,Reactive maximized middleware,Automotive,BrandE,612.13,395.74,50,5.01,1.8,4067,2024-11-15,False,South Korea
PROD_00183,Synergized system-worthy budgetary management,Beauty,Generic,151.79,118.05,439,2.67,5.0,4553,2023-07-21,True,South Korea
PROD_00184,Self-enabling well-modulated time-frame,Clothing,Generic,157.02,102.26,134,1.03,2.0,460,2022-10-19,False,South Korea
PROD_00185,Multi-layered object-oriented superstructure,Electronics,BrandA,782.34,479.84,337,2.4,3.7,2469,2024-09-05,False,Germany
PROD_00186,Customer-focused demand-driven challenge,Automotive,Generic,761.12,500.93,620,6.51,3.4,3589,2022-12-30,False,USA
PROD_00187,Implemented zero-defect conglomeration,Electronics,BrandE,1526.86,995.27,266,4.53,3.8,382,2023-03-08,False,Germany
PROD_00188,User-centric intangible toolset,Sports,BrandB,359.99,243.71,67,6.63,2.4,1948,2025-03-21,False,USA
PROD_00189,Horizontal well-modulated instruction set,Electronics,Generic,741.75,514.44,153,1.2,3.5,4978,2024-07-27,False,Germany
PROD_00190,Open-architected interactive collaboration,Automotive,BrandE,346.87,259.18,500,4.14,4.4,4305,2024-10-04,True,China
PROD_00191,Organic holistic artificial intelligence,Clothing,BrandD,291.52,204.64,131,0.62,3.7,3493,2024-09-07,False,South Korea
PROD_00192,Devolved transitional productivity,Books,BrandA,29.6,20.1,314,8.0,3.3,1926,2023-03-30,False,Japan
PROD_00193,Object-based client-driven process improvement,Automotive,BrandC,1386.62,928.68,512,9.84,3.6,3800,2023-07-17,False,Germany
PROD_00194,Balanced heuristic concept,Home & Garden,BrandC,441.44,285.29,242,7.69,3.1,2279,2022-12-02,False,South Korea
PROD_00195,Progressive maximized leverage,Sports,Generic,24.2,18.2,156,9.1,2.4,4819,2024-05-25,False,Japan
PROD_00196,Optimized radical archive,Sports,BrandC,160.93,98.21,53,0.88,1.3,4643,2025-02-17,False,Japan
PROD_00197,Team-oriented demand-driven firmware,Electronics,BrandA,634.3,407.23,275,0.6,4.6,300,2022-08-01,True,Germany
PROD_00198,Polarized object-oriented task-force,Automotive,Generic,556.71,338.08,632,0.68,3.7,2914,2023-08-12,False,USA
PROD_00199,Inverse reciprocal attitude,Clothing,BrandD,133.26,91.55,703,1.71,4.6,2721,2023-04-03,True,China
PROD_00200,Future-proofed maximized implementation,Beauty,BrandA,85.71,66.07,308,7.45,3.2,4622,2023-12-01,False,South Korea
PROD_00201,Ameliorated 5thgeneration secured line,Home & Garden,Generic,238.49,158.08,625,1.57,3.8,4996,2023-08-01,False,USA
PROD_00202,Synchronized mobile intranet,Beauty,BrandE,197.99,122.27,689,1.73,3.8,2169,2023-05-30,False,South Korea
PROD_00203,Inverse bottom-line encryption,Beauty,BrandE,52.14,36.48,259,9.67,1.2,4020,2024-03-18,False,USA
PROD_00204,De-engineered stable Internet solution,Home & Garden,Generic,247.5,169.53,228,6.15,3.9,3459,2025-06-02,False,Germany
PROD_00205,Grass-roots bandwidth-monitored ability,Clothing,BrandD,100.95,68.82,237,1.89,3.3,928,2024-01-14,False,Japan
PROD_00206,Organized context-sensitive moratorium,Sports,BrandB,70.15,52.29,64,6.73,1.0,1387,2023-05-26,False,USA
PROD_00207,Cross-platform bi-directional process improvement,Books,BrandD,18.49,11.11,277,8.8,3.8,2363,2025-04-11,False,Japan
PROD_00208,Fully-configurable intangible circuit,Beauty,BrandE,133.94,104.72,836,4.34,3.1,454,2025-07-03,False,USA
PROD_00209,Monitored global throughput,Electronics,BrandB,91.43,73.07,456,4.06,4.0,2017,2024-10-20,False,South Korea
PROD_00210,De-engineered disintermediate support,Electronics,BrandA,1941.14,1361.13,488,0.29,4.4,2740,2025-02-20,True,Japan
PROD_00211,Synergized leadingedge array,Automotive,BrandB,1035.27,667.16,897,4.84,3.7,2292,2023-09-29,False,USA
PROD_00212,Cloned optimal frame,Sports,BrandA,520.67,371.6,207,1.37,2.2,66,2025-03-12,False,China
PROD_00213,Stand-alone fresh-thinking analyzer,Electronics,BrandE,964.12,639.87,364,2.56,2.9,29,2023-10-21,False,Japan
PROD_00214,Optimized reciprocal firmware,Sports,BrandC,130.19,85.21,626,4.9,3.5,1639,2025-02-18,False,USA
PROD_00215,Customer-focused tertiary application,Electronics,BrandB,967.3,691.91,802,4.49,1.3,4232,2023-10-15,False,South Korea
PROD_00216,Decentralized logistical approach,Books,BrandE,42.57,26.27,522,5.93,1.8,3861,2022-11-15,False,USA
PROD_00217,Open-architected national process improvement,Electronics,Generic,1520.26,1054.98,20,2.01,2.2,331,2022-10-17,False,South Korea
PROD_00218,Re-contextualized disintermediate groupware,Sports,BrandA,777.83,570.53,568,7.06,4.7,2616,2022-10-15,True,USA
PROD_00219,Profit-focused needs-based instruction set,Automotive,BrandD,1161.24,816.52,637,6.57,2.3,3631,2023-10-06,False,Germany
